province,street,size,total_rooms,total_floors,floor,age,heating,facing,balcony,furniture,rent
Tepebasi,Hosnudiye,60,2,3,3,10,combi,2,0,0,800
Odunpazari,Buyukdere,55,2,2,2,8,combi,3,0,1,850
Tepebasi,Eskibaglar,58,2,4,3,11,combi,2,0,0,750
Tepebasi,Sirintepe,65,2,3,1,9,combi,2,0,0,650
Odunpazari,Sumer,220,5,3,2,18,combi,3,1,0,3750
Odunpazari,Buyukdere,55,2,3,1,8,combi,3,0,1,875
Odunpazari,Buyukdere,65,2,3,2,4,combi,2,0,0,650
Tepebasi,Bahcelievler,95,3,3,2,8,combi,3,1,0,1000
Tepebasi,Yesiltepe,65,2,3,2,7,combi,2,0,0,550
Tepebasi,Sirintepe,65,2,3,2,7,combi,2,0,0,650
Tepebasi,Eskibaglar,65,2,4,1,8,combi,2,0,0,850
Tepebasi,Sirintepe,50,2,4,2,6,combi,3,0,1,650
Tepebasi,Sutluce,60,2,3,2,10,combi,1,0,1,700
Tepebasi,Bahcelievler,55,2,4,2,5,combi,4,1,0,850
Tepebasi,Sirintepe,60,2,3,3,11,combi,2,0,1,650
Tepebasi,Yenibaglar,60,2,4,1,13,combi,4,0,0,700
Odunpazari,Kirmizitoprak,120,3,5,3,35,district,1,1,0,1350
Odunpazari,Akarbasi,90,3,3,0,30,combi,1,0,0,650
Tepebasi,Bahcelievler,60,2,4,4,7,combi,2,0,1,900
Tepebasi,Yenibaglar,55,2,4,3,12,combi,3,0,0,650
Tepebasi,Mamure,130,4,7,5,21,district,2,1,0,1300
Tepebasi,Eskibaglar,55,2,3,2,8,combi,2,0,0,800
Tepebasi,Bahcelievler,55,2,4,1,10,combi,2,0,0,550
Odunpazari,Kirmizitoprak,90,3,4,4,30,district,1,1,0,850
Odunpazari,Buyukdere,52,2,3,2,8,combi,3,1,0,700
Tepebasi,Bahcelievler,60,2,3,2,6,combi,3,0,0,750
Tepebasi,Sirintepe,60,2,3,1,1,combi,2,1,0,800
Tepebasi,Sirintepe,60,2,3,2,5,combi,1,0,1,850
Odunpazari,Istiklal,55,2,4,2,7,combi,2,1,0,900
Tepebasi,Uluonder,45,2,4,2,6,combi,3,0,1,900
Tepebasi,Yenibaglar,135,4,8,3,15,combi,2,1,0,1600
Tepebasi,Eskibaglar,60,2,4,4,9,combi,4,0,0,800
Tepebasi,Sirintepe,90,3,3,3,2,combi,1,1,0,1000
Tepebasi,Zafer,100,3,4,3,15,combi,3,0,0,1200
Tepebasi,Yenibaglar,130,4,7,7,25,district,2,1,0,1200
Tepebasi,Hosnudiye,60,2,3,3,10,combi,1,1,0,900
Tepebasi,Gulluk,80,3,4,4,20,combi,4,1,0,800
Tepebasi,Sirintepe,55,2,3,2,10,combi,2,0,1,550
Tepebasi,Gulluk,110,3,4,4,4,combi,3,1,1,1600
Tepebasi,Yenibaglar,20,1,4,4,10,district,1,1,0,1250
Tepebasi,MustafaKemalPasa,110,3,7,3,25,combi,2,1,0,1000
Tepebasi,Sirintepe,55,2,3,2,5,combi,2,0,1,700
Tepebasi,Yenibaglar,88,3,4,2,12,combi,3,0,0,1000
Odunpazari,71Evler,95,3,2,0,15,combi,3,0,0,700
Tepebasi,Eskibaglar,65,2,3,3,10,combi,2,0,1,1150
Tepebasi,Sirintepe,50,2,3,3,15,combi,3,0,1,750
Odunpazari,Buyukdere,56,2,3,1,15,combi,1,0,0,1000
Tepebasi,Bahcelievler,60,2,4,3,9,combi,2,0,0,800
Odunpazari,Kurtulus,135,4,7,3,30,district,1,1,0,1200
Tepebasi,Yesiltepe,55,2,3,2,10,combi,3,0,1,650
Odunpazari,Kirmizitoprak,100,3,5,4,30,combi,1,0,0,750
Odunpazari,Istiklal,165,4,7,5,25,combi,3,1,0,3300
Odunpazari,Visnelik,125,4,4,1,25,district,3,1,0,1600
Tepebasi,Sutluce,65,2,3,2,4,combi,3,0,1,800
Tepebasi,Bahcelievler,60,2,4,1,10,combi,3,1,0,700
Odunpazari,Deliklitas,130,3,3,3,25,combi,3,1,0,850
Tepebasi,Bahcelievler,50,1,4,3,10,combi,1,0,0,600
Tepebasi,Gulluk,75,3,4,2,4,combi,2,0,0,1000
Tepebasi,Yenibaglar,127,3,8,7,15,combi,4,1,1,1500
Tepebasi,Cumhuriye,55,2,3,2,9,combi,1,0,0,750
Odunpazari,Arifiye,133,4,4,3,30,district,3,1,0,1300
Odunpazari,Arifiye,135,4,8,8,35,district,1,1,0,1300
Tepebasi,Yenibaglar,55,2,4,3,8,combi,4,0,1,700
Tepebasi,Cumhuriye,65,2,3,3,14,combi,2,0,0,1300
Tepebasi,Sutluce,55,2,3,3,6,combi,2,0,1,750
Tepebasi,Hosnudiye,150,4,7,3,20,district,3,1,0,1650
Tepebasi,Yenibaglar,135,4,4,4,11,combi,3,1,0,1200
Tepebasi,Yenibaglar,110,4,2,2,15,combi,1,1,0,1300
Tepebasi,Yenibaglar,60,2,4,3,10,combi,3,1,1,1100
Odunpazari,Kirmizitoprak,210,5,4,4,6,combi,2,1,0,3000
Tepebasi,Yenibaglar,45,1,2,2,10,combi,2,1,0,500
Tepebasi,Ertugrulgazi,50,2,4,4,7,combi,3,0,1,1050
Tepebasi,Cumhuriye,100,3,3,3,25,combi,2,1,0,1500
Odunpazari,Buyukdere,60,2,3,2,8,combi,3,0,0,650
Tepebasi,Bahcelievler,70,2,5,5,10,combi,2,0,1,1100
Tepebasi,Yesiltepe,65,2,3,3,4,combi,3,0,1,800
Tepebasi,Bahcelievler,60,2,4,2,4,combi,3,1,1,1550
Odunpazari,Akarbasi,105,3,4,3,35,district,2,1,0,950
